PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Saunders, FC; Hutt, I",,,,"Saunders, F. C.; Hutt, I.",,,Enhancing large-class teaching: a systematic comparison of rich-media materials,HIGHER EDUCATION RESEARCH & DEVELOPMENT,,,English,Article,,,,,,higher education; large class; learning technology; rich-media; student learning,LECTURE; STUDENTS; IMPACT; EXPERIENCES; ENVIRONMENT; TECHNOLOGY; PODCASTS; OUTCOMES,"Large cohorts (>200 students) are an ever-increasing presence in the UK higher education (HE) sector. Providing excellent teaching and learning to these large classes is an ongoing challenge for teaching faculty, a challenge intensified when the cohort comprises 85% non-native English speakers. This paper presents the findings of a project to supplement face-to-face lectures on a large campus-based taught MSc programme with a set of rich-media materials. These resources consisted of audio podcasts, audio-narrated slides, short video segments and full-video lecture capture. The aim of the study was to examine student usage of, and preference for, these different rich-media materials. Key findings are that students valued most highly the full-video lecture capture followed by the audio-narrated slides, using the materials primarily to consolidate their understanding and as revision aids. Students also emphasised the central importance of the face-to-face lecture - viewing the rich-media materials as complementary to, rather than as a replacement for the traditional lecture. Nor did the majority of students see the provision of videoed lectures as a reason for non-attendance at lectures. The findings of this study provide confirmatory evidence of the ongoing importance of the traditional lecture in large cohort HE teaching together with an acknowledgement of the benefits that rich-media materials can bring to the student learning experience.","[Saunders, F. C.] Univ Manchester, Sch Mech Aerosp & Civil Engn, Manchester, Lancs, England; [Hutt, I.] Univ Manchester, Fac Engn & Phys Sci, Manchester, Lancs, England","Saunders, FC (reprint author), Univ Manchester, Sch Mech Aerosp & Civil Engn, Manchester, Lancs, England.",fiona.saunders@manchester.ac.uk,,,University of Manchester,"The authors would like to thank The University of Manchester, who provided the funding for this project, and Mr Bland Tomkinson and two anonymous reviewers for their constructive comments on earlier versions of this manuscript.",,42,3,3,1,9,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND",0729-4360,1469-8366,,HIGH EDUC RES DEV,High. Educ. Res. Dev.,Nov-02,2015,34,6,,,,,1233,1250,,10.1080/07294360.2014.911261,,18,Education & Educational Research,Education & Educational Research,CY3GS,WOS:000366297700013,,No,,,29/11/2017
J,"Aldamen, H; Al-Esmail, R; Hollindale, J",,,,"Aldamen, Husam; Al-Esmail, Rajab; Hollindale, Janice",,,Does Lecture Capturing Impact Student Performance and Attendance in an Introductory Accounting Course?,ACCOUNTING EDUCATION,,,English,Article,,,,,,Lecture capture; performance; attendance; gender; cognitive theory of multimedia learning; Millennial Generation; Net Generation; I20; M40,TECHNOLOGIES,"The study empirically examines the interplay between lecture capturing viewership, performance and attendance for students in the Middle Eastern country of Qatar. The sample consists of 254 students enrolled in an introductory accounting class either in the Fall semester or in the Spring semester. We show a weak positive relationship between lecture capturing and performance, especially in the presence of other variables such as GPA, attendance, gender and seniority. However, we do not find that lecture capturing reduces attendance. Actual performance results are contrasted with students' perception of the usefulness and effectiveness of lecture capturing. Survey responses reveal that, overall, students attribute a great deal of credit to this pedagogical resource. They stated that lecture capturing clarifies concepts discussed in class, assists in studying for exams, enhances exam results and increases interest in the course. However, the majority of low-performing students believe lecture capturing to be a substitute for attending traditional lectures.","[Aldamen, Husam; Al-Esmail, Rajab] Qatar Univ, Doha, Qatar; [Hollindale, Janice] Bond Univ, Robina, Australia","Aldamen, H (reprint author), Qatar Univ, Coll Business & Econ, Accounting, Doha, Qatar.",haldamen@qu.edu.qa,,"Hollindale, Janice/0000-0001-9944-9323",,,,41,1,1,2,10,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND",0963-9284,1468-4489,,ACCOUNT EDUC,Account. Educ.,Jul-04,2015,24,4,,,,,291,317,,10.1080/09639284.2015.1043563,,27,"Business, Finance",Business & Economics,CQ4DG,WOS:000360553900002,,No,,,29/11/2017
J,"Mallinson, DJ; Baumann, ZD",,,,"Mallinson, Daniel J.; Baumann, Zachary D.",,,"Lights, Camera, Learn: Understanding the Role of Lecture Capture in Undergraduate Education",PS-POLITICAL SCIENCE & POLITICS,,,English,Article,,,,,,,TECHNOLOGIES; ATTENDANCE,"Lecture-capture software allows instructors to record their class presentations for students to review as necessary. Although this technology has long been considered too expensive for large-scale use, it is quickly becoming ubiquitous and deployable using ordinary computers and consumer-grade software. Using survey and final-grade data from a three-semester trial in a large introductory-level political science course, the authors demonstrate students almost universally approve of the technology and support its use in future classes. Students are most likely to use recordings when they study for exams and catch up on material after being absent from class. Additionally, certain subgroups-primarily international students and those who are performing poorly in the class-are more likely to watch archived recordings. However, these data demonstrate that positive evaluations and increased usage may not translate into better grades; viewing lectures does not appear to substantially improve individual performance.","[Mallinson, Daniel J.] Stockton Univ, Galloway, NJ 08205 USA; [Baumann, Zachary D.] Penn State Univ, Polit Sci, University Pk, PA 16802 USA","Mallinson, DJ (reprint author), Stockton Univ, Galloway, NJ 08205 USA.",Daniel.Mallinson@stockton.edu; zdb1@psu.edu,,"Mallinson, Daniel/0000-0002-8094-6685",,,,10,1,1,1,4,CAMBRIDGE UNIV PRESS,NEW YORK,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",1049-0965,1537-5935,,PS-POLIT SCI POLIT,PS-Polit. Sci. Polit.,JUL,2015,48,3,,,,,478,482,,10.1017/S1049096515000281,,5,Political Science,Government & Law,CL5TQ,WOS:000357024500013,,No,,,29/11/2017
J,"Pettit, RK; McCoy, L; Kinney, M; Schwartz, FN",,,,"Pettit, Robin K.; McCoy, Lise; Kinney, Marjorie; Schwartz, Frederic N.",,,Student perceptions of gamified audience response system interactions in large group lectures and via lecture capture technology,BMC MEDICAL EDUCATION,,,English,Article,,,,,,Audience response system; Clicker; TurningPoint; Medical microbiology; Game; Gamification,FORMATIVE ASSESSMENT; EDUCATIONAL GAMES; LEARNING OUTCOMES; MEDICAL-STUDENTS; PERFORMANCE; ACHIEVEMENT; CURRICULUM; PHYSIOLOGY; IMPACT; SCHOOL,"Background: Higher education students have positive attitudes about the use of audience response systems (ARS), but even technology-enhanced lessons can become tiresome if the pedagogical approach is exactly the same with each implementation. Gamification is the notion that gaming mechanics can be applied to routine activities. In this study, TurningPoint (TP) ARS interactions were gamified and implemented in 22 large group medical microbiology lectures throughout an integrated year 1 osteopathic medical school curriculum. Methods: A 32-item questionnaire was used to measure students' perceptions of the gamified TP interactions at the end of their first year. The survey instrument generated both Likert scale and open-ended response data that addressed game design and variety, engagement and learning features, use of TP questions after class, and any value of lecture capture technology for reviewing these interactive presentations. The Chi Square Test was used to analyze grouped responses to Likert scale questions. Responses to open-ended prompts were categorized using open-coding. Results: Ninety-one students out of 106 (86 %) responded to the survey. A significant majority of the respondents agreed or strongly agreed that the games were engaging, and an effective learning tool. The questionnaire investigated the degree to which specific features of these interactions were engaging (nine items) and promoted learning (seven items). The most highly ranked engagement aspects were peer competition and focus on the activity (tied for highest ranking), and the most highly ranked learning aspect was applying theoretical knowledge to clinical scenarios. Another notable item was the variety of interactions, which ranked in the top three in both the engagement and learning categories. Open-ended comments shed light on how students use TP questions for exam preparation, and revealed engaging and non-engaging attributes of these interactive sessions for students who review them via lecture capture. Conclusions: Students clearly valued the engagement and learning aspects of gamified TP interactions. The overwhelming majority of students surveyed in this study were engaged by the variety of TP games, and gained an interest in microbiology. The methods described in this study may be useful for other educators wishing to expand the utility of ARS in their classrooms.","[Pettit, Robin K.; McCoy, Lise; Kinney, Marjorie; Schwartz, Frederic N.] AT Still Univ, Sch Osteopath Med Arizona, Mesa, AZ 85206 USA","Pettit, RK (reprint author), AT Still Univ, Sch Osteopath Med Arizona, 5850 E Still Circle, Mesa, AZ 85206 USA.",rpettit@atsu.edu,,,HRSA [D54HP20674],This research was supported by HRSA grant no.D54HP20674.,,55,5,5,4,55,BIOMED CENTRAL LTD,LONDON,"236 GRAYS INN RD, FLOOR 6, LONDON WC1X 8HL, ENGLAND",1472-6920,,,BMC MED EDUC,BMC Med. Educ.,May-22,2015,15,,,,,,,,92,10.1186/s12909-015-0373-7,,15,"Education & Educational Research; Education, Scientific Disciplines",Education & Educational Research,CK9QN,WOS:000356574700001,25997953,gold,,,29/11/2017
J,"Kinash, S; Knight, D; McLean, M",,,,"Kinash, Shelley; Knight, Diana; McLean, Matthew",,,Does Digital Scholarship through Online Lectures Affect Student Learning?,EDUCATIONAL TECHNOLOGY & SOCIETY,,,English,Article,,,,,,Digital scholarship; E-learning; Lecture capture; Lecture recording; Online digital content,HIGHER-EDUCATION; TECHNOLOGIES; ATTENDANCE; PREFERENCE; PODCASTS; CAPTURE,"University lectures are increasingly recorded or reproduced and made available to students online. This paper aggregates and critically reviews the associated literature, thematically organised in response to four questions. In response to the first question - does student attendance decrease when online content is made available research indicates that students primarily use digital content for review and revision rather than as a substitute for on-campus attendance. Analysis of the research in response to the second question - is achievement affected when attendance is face-to-face versus online - revealed no empirically supported significant difference. The third question was whether online content is better suited to some pedagogical tasks than others. A predominant theme in the literature is that digital content has potential as a disruptive pedagogy, accelerating an overall shift from didactic lecture to constructivist learning. Analysis revealed a research gap around the fourth question - is there evidence that some online formats are particularly suited to advancing learning. The few published comparative studies revealed contradictory results. Overall conclusions from the combined questions are that online digital content is a worthwhile learning and teaching pursuit and discipline and context must be considered in designing the particular approach.","[Kinash, Shelley] Bond Univ, Off Learning & Teaching, Southport, Qld 4229, Australia; Australian Govt, Dept Social Serv, Canberra, ACT 2610, Australia","Kinash, S (reprint author), Bond Univ, Off Learning & Teaching, Southport, Qld 4229, Australia.",skinash@bond.edu.au; dknight@bond.edu.au; matthew.mclean@live.com.au,,,,,,58,2,2,3,25,"IEEE COMPUTER SOC, LEARNING  TECHNOLOGY TASK FORCE",PALMERSTON NORTH,"BAG 11-222, MASSEY UNIVERSITY, PALMERSTON NORTH, NEW ZEALAND",1436-4522,,,EDUC TECHNOL SOC,Educ. Technol. Soc.,APR,2015,18,2,,,SI,,129,139,,,,11,Education & Educational Research,Education & Educational Research,CI6PX,WOS:000354884000010,,gold,,,29/11/2017
J,"Petrovic, J; Pale, P",,,,"Petrovic, Juraj; Pale, Predrag",,,Students' perception of live lectures' inherent disadvantages,TEACHING IN HIGHER EDUCATION,,,English,Article,,,,,,lecture capture; live lectures' disadvantages; lecture interactivity; lecture attendance,COGNITIVE LOAD; PEER ASSESSMENT; SELF-ASSESSMENT; FEEDBACK; SCIENCE; CONSEQUENCES; MOTIVATION; UNIVERSITY,"This paper aims to provide insight into various properties of live lectures from the perspective of sophomore engineering students. In an anonymous online survey conducted at the Faculty of Electrical Engineering and Computing, University of Zagreb, we investigated students' opinions regarding lecture attendance, inherent disadvantages of live lecture as a teaching method, lecture interactivity, and the importance of different types of learning materials. The findings derived from students' reported data suggest that students are well aware of a number of limitations of live lectures as a teaching method, yet despite that awareness, it rarely affects their decision to attend live lectures or not. Implications of the findings for live lectures are addressed in the paper, as well as recommendations for future research.","[Petrovic, Juraj; Pale, Predrag] Univ Zagreb, Fac Elect Engn & Comp, Dept Elect Syst & Informat Proc, Zagreb 41000, Croatia","Petrovic, J (reprint author), Univ Zagreb, Fac Elect Engn & Comp, Dept Elect Syst & Informat Proc, Zagreb 41000, Croatia.",juraj.petrovic@fer.hr,,,,,,53,4,4,1,31,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND",1356-2517,1470-1294,,TEACH HIGH EDUC,Teach. High Educ.,Feb-17,2015,20,2,,,,,143,157,,10.1080/13562517.2014.962505,,15,Education & Educational Research,Education & Educational Research,AW1LP,WOS:000346051200002,,No,,,29/11/2017
S,"Ahmad, AW; Yang, H; Shahzad, G; Lee, C",,,IEEE,"Ahmad, Arbab Waheed; Yang, Heekwon; Shahzad, Gul; Lee, Chankil",,,Design and Implementation of FPGA based Automatic Lecture Recording System,2015 17TH INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATION TECHNOLOGY (ICACT),International Conference on Advanced Communication Technology,,English,Proceedings Paper,17th IEEE INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATIONS TECHNOLOGY (ICACT),"JUL 01-03, 2015","Global IT Res Inst (GiRI), PyeonhChang, SOUTH AFRICA","IEEE Commun Soc, Gangwon Convent & Visitors Bur, Natl Informat Sco Agcy, Elect & Telecommun Res Inst, Korean Inst Commun Sci, IEEK Commun Soc, Korean Inst Informat Scientists & Enigneers, Open Stand & Internet Assoc, Korea Inst Informat Secur & Crytol",Global IT Res Inst (GiRI),Image recognition; FPGA; Lecture recording; stepper motor; face recognition,,"Tele-teaching and distance-learning concept is getting much consideration these days since it poses easy access and availability of well-known instructors' lectures and presentations. In relation to video lectures, one of the utmost important concerns is professional video recording. Video recording inside lecture halls requires experienced camera-work professionals, who can record video lecture in an eye-catching way that keep the viewer concentration. To eliminate the overhead of expensive camera-work professionals, recently, image recognition algorithms combined with camera controllers make automatic lecture recording possible. In this article, we present real time implementation of the field programmable gate arrays (FPGA) based automatic lecture recording system. The system comprises of FPGA board, which can take input from analog and/or digital video camera, the ARM processor unit, and camera mounted stepper motor. Real time Image recognition algorithms are used to detect the region of interest (ROI) boundaries, instructor's face, and instructor's movement direction. The stepper motor rotates the mounted camera as directed by the FPGA controller to follow the lecturer and board. Further, the proposed system is designed in a compatible manner that can take input from a variety of video formats. Successful video lecture recording at Hanyang University lecture hall validated the performance of the system.","[Ahmad, Arbab Waheed; Yang, Heekwon; Shahzad, Gul; Lee, Chankil] Hanyang Univ, Elect & Commun Engn Dept, Seoul, South Korea","Ahmad, AW (reprint author), Hanyang Univ, Elect & Commun Engn Dept, Seoul, South Korea.",arbab@hanyang.ac.kr; hkyang77@hanyang.ac.kr; gshahzad@gmail.com; cklee@hanyang.ac.kr,,,,,,10,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",1738-9445,,978-8-9968-6505-6,INT CONF ADV COMMUN,,,2015,,,,,,,402,406,,,,5,"Engineering, Electrical & Electronic; Telecommunications",Engineering; Telecommunications,BF1HD,WOS:000380396600082,,No,,,29/11/2017
J,"Wang, WF; Chen, CM; Wu, CH",,"Matsuo, T; Hashimoto, K; Mine, T; Hirokawa, S",,"Wang, Wen-Fang; Chen, Chih-Ming; Wu, Chung-Hsin",,,"Effects of Different Video Lecture Types on Sustained Attention, Emotion, Cognitive Load, and Learning Performance",2015 IIAI 4TH INTERNATIONAL CONGRESS ON ADVANCED APPLIED INFORMATICS (IIAI-AAI),,,English,Proceedings Paper,2015 IIAI 4th International Congress on Advanced Applied Informatics (IIAI-AAI),"JUL 12-16, 2015","Okayama, JAPAN",Int Inst Appl Informat,,Media in education; evaluation methodologies; distance education and telelearning; interactive learning environments,DIFFERENT MULTIMEDIA MATERIALS,"Although online courseware often includes multimedia materials, exactly how different video lecture types impact student performance has seldom been studied. Therefore, this study explores how three commonly used video lectures styles affect the sustained attention, emotion, cognitive load, and learning performance of verbalizers and visualizers in an autonomous online learning scenario by using a two-factor experimental design, brainwave detection, emotion-sensing equipment, cognitive load scale, and learning performance test sheet. Analysis results indicate that, while the three video lecture types enhance learning performance, learning performance with lecture capture and picture-in-picture types is superior to that associated with the voice-over type. Verbalizers and visualizers achieve the same learning performance with the three video types. Additionally, sustained attention induced by the voice-over type is markedly higher than that with the picture-in-picture type. Sustained attention of verbalizers is also significantly higher than that of visualizers when learning with the three video lectures. Moreover, the positive and negative emotions induced by the three video lectures do not appear to significantly differ from each other. Also, cognitive load related to the voice-over type is significantly higher than that with by the lecture capture and picture-in-picture types. Furthermore, the cognitive load for visualizers markedly exceeds that of verbalizers who are presented with the voice-over type. Results of this study significantly contribute to efforts to design of video lectures and also provide a valuable reference when selecting video lecture types for online learning.","[Wang, Wen-Fang; Chen, Chih-Ming; Wu, Chung-Hsin] Natl Chengchi Univ, Grad Inst Lib Informat & Archival Studies, Taipei, Taiwan","Wang, WF (reprint author), Natl Chengchi Univ, Grad Inst Lib Informat & Archival Studies, Taipei, Taiwan.",103155001@nccu.edu.tw; chencm@nccu.edu.tw; 100155002@nccu.edu.tw,,"Chen, Chih-Ming/0000-0002-7088-5516",,,,13,0,0,0,3,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-4799-9958-3,,,,2015,,,,,,,385,390,,10.1109/IIAI-AAI.2015.225,,6,"Computer Science, Information Systems",Computer Science,BF3EK,WOS:000380532300072,,No,,,29/11/2017
J,"Ukelson, JP",,,IEEE,"Ukelson, Jacob P.",,,LECTUREMONKEY - A PLATFORM FOR COLLABORATIVE MOBILE LECTURE CAPTURING AND E-LEARNING PUBLISHING,PROCEEDINGS OF 2015 INTERNATIONAL CONFERENCE ON INTERACTIVE MOBILE COMMUNICATION TECHNOLOGIES AND LEARNING (IMCL),,,English,Proceedings Paper,Proceedings of 2015 International Conference on Interactive Mobile Communication Technologies and Learning (IMCL),"NOV 19-20, 2015","Thessaloniki, GREECE","ARISTOTLE UNIV OF THESSALONIKI, IAOE, IEEE, IGIP, IELA, CTI, UNIQUE TECHNOLOGY, GALONIS",,large scale adoption of mobile learning; mobile education; flipped classrooms; blended learning; automated lecture notes; MOOCs,,"Classroom teaching is mostly carried out by means of live lectures. Lectures are by far the most prevalent method of education and will continue to be so in the foreseeable future. Worldwide about 100,000,000 lecture hours are given live annually and almost none recorded - even though student seek out recorded lectures. Existing lecture capture technology is a partial solution - but those systems are expensive, complex, and managing them (and the recorded lectures) requires an IT department. This results in only very few of the 100,000,000 lecture hours given annually by colleges around the world being recorded - an enormous waste of valuable content LectureMonkey is a student and teacher collaborative solution, which leverages students mobiles to record any lecture anywhere, turn any classroom into a collaborative, active classroom and any lecture into a blended learning experience. LectureMonkey has been doing research in the marketplace over the last two years - letting students and teachers use the system to record and share lectures. We have used iterative and agile methodologies to quickly modify the product based on feedback. During these iterations we have learned what works and what doesn't, and what it will take to spark mass lecture capturing. LectureMonkey has been downloaded about 60,000 times, and has been used to record around 2,800 lectures (about 180 a month). Lectures have been viewed 14,000 times by 3,400 users. Just imagine how learning would change if everyone knew that at the end of class they would have a recording available - not just audio, but rich media that includes audio, boards and presentation. Add student comments as a natural part of the flow of the recording, mix in sharing among classmates and you have a recipe to radically improve the way students learn. LectureMonkey provides the ability to automatically capture every lecture using smartphones, making those recordings a part of the class notes - which can be easily shared with and enhanced by classmates. Needing only a smartphone and access to the Internet, LectureMonkey combines lecture capture (high quality audio, board images and presentation capture) and collaborative comments into a crowd sourced, shared, multimedia summary of a class. Students can have all their lectures and notes in their pocket or in a browser - available anytime, anywhere. LectureMonkey is the only solution for mass ad-hoc lecture capture for live lectures anywhere, anytime - even though lecture capturing has a proven benefit for students. LectureMonkey modernizes class notes. Class notes are crucial to learning, but haven't really changed since the 1950's. LectureMonkey combines lecture recording together with the mobile paradigms of texting, tweeting, snapchat for collaborative note taking to enhance learning. LectureMonkey democratizes modern pedagogical strategies like flipped classrooms and peer learning by making it simple for every live lecture to easily become an active, e-Learning experience that embraces paradigms natural to today's students","[Ukelson, Jacob P.] LectureMonkey, Los Angeles, CA 90095 USA","Ukelson, JP (reprint author), LectureMonkey, Los Angeles, CA 90095 USA.",,,,,,,8,0,0,0,4,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-4673-8243-4,,,,2015,,,,,,,401,405,,,,5,"Engineering, Electrical & Electronic; Telecommunications",Engineering; Telecommunications,BF4AT,WOS:000380612800086,,No,,,29/11/2017
B,"Dickson, PE; Kondrat, C; Szeto, RB; Adrion, WR; Pham, TT; Richards, TD",,,IEEE,"Dickson, Paul E.; Kondrat, Chris; Szeto, Ryan B.; Adrion, W. Richards; Pham, Tung T.; Richards, Tim D.",,,Portable Lecture Capture that Captures the Complete Lecture,2015 IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA (ISM),IEEE International Symposium on Multimedia-ISM,,English,Proceedings Paper,IEEE International Symposium on Multimedia (ISM),"DEC 14-16, 2015","Miami, FL","CPS, IEEE computer soc, FIU COMPUT INFORM SERVICES, Nanjing Univ Posts telecommunications",,lecture capture; portable recording; lecture recording,,Lecture recording is not a new concept nor is high-resolution recording of multimedia presentations that include computer and whiteboard material. We describe a novel portable lecture capture system that captures not only computer content and video as do most modern lecture capture systems but also captures content from whiteboards. The whiteboard material is captured at high resolution and processed for clarity without the necessity for the electronic whiteboards required by many capture systems. Our presentation system also processes the entire lecture in real time. The system we present is the logical next step in lecture capture technology.,"[Dickson, Paul E.; Kondrat, Chris] Ithaca Coll, Dept Comp Sci, 953 Danby Rd, Ithaca, NY 14850 USA; [Szeto, Ryan B.; Adrion, W. Richards; Pham, Tung T.; Richards, Tim D.] Univ Massachusetts, Sch Comp Sci, Comp Sci Bldg, Amherst, MA 01003 USA","Dickson, PE (reprint author), Ithaca Coll, Dept Comp Sci, 953 Danby Rd, Ithaca, NY 14850 USA.",pdickson@ithaca.edu; ckondra1@ithaca.edu; rszeto@umass.edu; adrion@cs.umass.edu; ttpham@umass.edu; richards@cs.umass.edu,,,,,,12,1,1,0,1,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-5090-0379-2,IEEE INT SYM MULTIM,,,2015,,,,,,,559,564,,10.1109/ISM.2015.22,,6,"Computer Science, Information Systems; Telecommunications",Computer Science; Telecommunications,BF1ZU,WOS:000380448900110,,No,,,29/11/2017
B,"Wulff, B; Wilson, A; Jost, B; Ketterl, M",,,IEEE,"Wulff, Benjamin; Wilson, Andrew; Jost, Beate; Ketterl, Markus",,,An adopter centric API and visual programming interface for the definition of strategies for automated camera tracking,2015 IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA (ISM),IEEE International Symposium on Multimedia-ISM,,English,Proceedings Paper,IEEE International Symposium on Multimedia (ISM),"DEC 14-16, 2015","Miami, FL","CPS, IEEE computer soc, FIU COMPUT INFORM SERVICES, Nanjing Univ Posts telecommunications",,Camera tracking; Lecture Capture; Opencast; Domain-Specific Language; Visual Programming,LANGUAGES,"The LectureSight system provides a facility for controlling robotic cameras during live presentation recordings in a fully automated way. In this paper we present how the system accounts for the very heterogeneous demands in the domain of lecture capture at universities. An API for the JavaScript programming language gives the adopter the freedom to formulate their own camera steering strategy. A graphical programming environment, based on the Open Roberta project, further eases the development of the steering logic. The accomplishments of the LectureSight project should serve as an example on how integrated measure and control systems can be made highly customizable and give the adopter the power to fully exploit the range of possibilities a technology provides.","[Wulff, Benjamin; Jost, Beate; Ketterl, Markus] Fraunhofer IAIS, Inst Intelligent Anal & Informat Syst, Schloss Birlinghoven, D-53754 St Augustin, Germany; [Wilson, Andrew] Univ Manchester, Media Technol, Manchester M13 9PL, Lancs, England","Wulff, B (reprint author), Fraunhofer IAIS, Inst Intelligent Anal & Informat Syst, Schloss Birlinghoven, D-53754 St Augustin, Germany.",Benjamin.Wulff@iais.fraunhofer.de; andrew.wilson@manchester.ac.uk; Beate.Jost@iais.fraunhofer.de; Markus.Ketterl@iais.fraunhofer.de,,,,,,23,0,0,0,1,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-5090-0379-2,IEEE INT SYM MULTIM,,,2015,,,,,,,587,592,,10.1109/ISM.2015.106,,6,"Computer Science, Information Systems; Telecommunications",Computer Science; Telecommunications,BF1ZU,WOS:000380448900115,,No,,,29/11/2017
J,"Mcgowan, A; Hanna, P",,,IEEE,"Mcgowan, Aidan; Hanna, Philip",,,"How Video Lecture Capture Affects Student Engagement in a Higher Education Computer Programming Course: A Study of Attendance, Video Viewing Behaviours and Student Attitude",ECHALLENGES E-2015 CONFERENCE PROCEEDINGS,,,English,Proceedings Paper,eChallenges e-2015 Conference Proceedings,"NOV 25-26, 2015","vilnius, LITHUANIA",,,,,"Video Capture of university lectures enables learners to be more flexible in their learning behaviour, for instance choosing to attend lectures in person or watch later. However attendance at lectures has been linked to academic success and is of concern for faculty staff contemplating the introduction of Video Lecture Capture. This research study was devised to assess the impact on learning of recording lectures in computer programming courses. The study also considered behavioural trends and attitudes of the students watching recorded lectures, such as when, where, frequency, duration and viewing devices used. The findings suggest there is no detrimental effect on attendance at lectures with video materials being used to support continual and reinforced learning with most access occurring at assessment periods. The analysis of the viewing behaviours provides a rich and accessible data source that could be potentially leveraged to improve lecture quality and enhance lecturer and learning performance.","[Mcgowan, Aidan; Hanna, Philip] Queens Univ, Sch Elect Elect Engn & Comp Sci, Elmwood Ave, Belfast BT9 6AY, Antrim, North Ireland","Mcgowan, A (reprint author), Queens Univ, Sch Elect Elect Engn & Comp Sci, Elmwood Ave, Belfast BT9 6AY, Antrim, North Ireland.",aidan.mcgowan@qub.ac.uk,,,,,,16,0,0,2,7,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-9058-2453-3,,,,2015,,,,,,,,,,,,8,"Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic",Computer Science; Engineering,BF2DH,WOS:000380457600001,,No,,,29/11/2017
J,"Chen, YQ; Chang, CF; Su, PC",,,IEEE,"Chen, Yong-Quan; Chang, Chiung-Fang; Su, Po-Chyi",,,A Tabletop Lecture Recording S ystem based on Gesture Control,2015 IEEE INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS - TAIWAN (ICCE-TW),International Conference on Consumer Electronics,,English,Proceedings Paper,IEEE International Conference on Consumer Electronics - Taiwan (ICCE-TW 2015),"JUN 06-08, 2015","Taipei, TAIWAN","ICCE TW, IEEE, IEEE CE SOC, Natl Taiwan Univ Sci & Technol, IEEE Taipei Sect, Minist Sci & Technol, Bur Foreign Trade, Dept Informat & Tourism, Taipei City Govt, Dept Elect Engn, Natl Taiwan Univ Sci & Technol, IET Taipei Local Network",,,,"This research presents a lecture recording system that employs gestures and digital cameras to facilitate remote-distance teaching. The lecturer can teach in front of a desk or table, on which a Pan-Tilt-Zoom (PTZ) camera and a depth camera, i.e., Kinect, are installed. The lecturer can control the PTZ camera to record the teaching process by the gestures, which are designed as simple as possible so that the lecturer can focus more on explaining the course content, instead of the recording operations. The lecturer can write the notes easily on a paper or show the physical course material to enrich the lecture content. Digital slides can also be adopted when necessary to benefit the learning experience of students. Besides, the proposed system can help to reduce the effort/time for possible post video production.",,,,,,,,,8,1,1,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-1-4799-8745-0,IEEE ICCE,,,2015,,,,,,,372,373,,,,2,"Engineering, Electrical & Electronic",Engineering,BF2IB,WOS:000380469500186,,No,,,29/11/2017
